025,Tranquility NJ,410000,745230,0.35088,-1.39015,410000,744500,0.35160,-1.40659,405230,745230,0.35504,-1.39365,405230,744500,0.35631,-1.40961
026,Stanhope NJ,410000,744500,0.35160,-1.40659,410000,743730,0.35216,-1.42138,405230,744500,0.35631,-1.40961,405230,743730,0.35677,-1.42408
027,Dover NJ,410000,743730,0.35216,-1.42138,410000,743000,0.35273,-1.43616,405230,743730,0.35677,-1.42408,405230,743000,0.35723,-1.43855
028,Boonton NJ,410000,743000,0.35273,-1.43616,410000,742230,0.35177,-1.45347,405230,743000,0.35723,-1.43855,405230,742230,0.35709,-1.45490
029,Pompton Plains NJ,410000,742230,0.35177,-1.45347,410000,741500,0.35081,-1.47078,405230,742230,0.35709,-1.45490,405230,741500,0.35695,-1.47125
030,Paterson NJ,410000,741500,0.35081,-1.47078,410000,740730,0.35092,-1.48643,405230,741500,0.35695,-1.47125,405230,740730,0.35773,-1.48565
031,Hackensack NJ,410000,740730,0.35092,-1.48643,410000,740000,0.35102,-1.50208,405230,740730,0.35773,-1.48565,405230,740000,0.35851,-1.50004
032,Yonkers NJ-NY,410000,740000,0.35102,-1.50208,410000,735230,0.35150,-1.51451,405230,740000,0.35851,-1.50004,405230,735230,0.35925,-1.51275
N13,Mount Vernon NY,410000,735230,0.35150,-1.51451,410000,734500,0.35197,-1.52693,405230,735230,0.35925,-1.51275,405230,734500,0.35999,-1.52547
N14,Mamaroneck NY,410000,734500,0.35197,-1.52693,410000,733730,0.35113,-1.54615,405230,734500,0.35999,-1.52547,405230,733730,0.35732,-1.54182
P19,Palmerton Pa,405230,753730,0.32860,-1.32322,405230,753000,0.33305,-1.33365,404500,753730,0.34257,-1.32840,404500,753000,0.34477,-1.33945
P20,Kunkletown Pa,405230,753000,0.33305,-1.33365,405230,752230,0.33797,-1.34239,404500,753000,0.34477,-1.33945,404500,752230,0.34796,-1.34932
P21,Wind Gap Pa,405230,752230,0.33797,-1.34239,405230,751500,0.34289,-1.35113,404500,752230,0.34769,-1.34932,404500,751500,0.35061,-1.35920
033,Bangor Pa-NJ,405230,751500,0.34289,-1.35113,405230,750730,0.34833,-1.36441,404500,751500,0.35061,-1.35920,404500,750730,0.35399,-1.37045
034,Belvidere NJ-Pa,405230,750730,0.34833,-1.36441,405230,750000,0.35376,-1.37770,404500,750730,0.35399,-1.37045,404500,750000,0.35737,-1.38170
035,Washington NJ,405230,750000,0.35376,-1.37770,405230,745230,0.35504,-1.39365,404500,750000,0.35737,-1.38170,404500,745230,0.35919,-1.39716
036,Hackettstown NJ,405230,745230,0.35504,-1.39365,405230,744500,0.35631,-1.40961,404500,745230,0.35919,-1.39716,404500,744500,0.36101,-1.41262
037,Chester NJ,405230,744500,0.35631,-1.40961,405230,743730,0.35677,-1.42408,404500,744500,0.36101,-1.41262,404500,743730,0.36138,-1.42678
038,Mendham NJ,405230,743730,0.35677,-1.42408,405230,743000,0.35723,-1.43855,404500,743730,0.36138,-1.42678,404500,743000,0.36174,-1.44094
039,Morristown NJ,405230,743000,0.35723,-1.43855,405230,742230,0.35709,-1.45490,404500,743000,0.36174,-1.44094,404500,742230,0.36242,-1.45633
040,Caldwell NJ,405230,742230,0.35709,-1.45490,405230,741500,0.35695,-1.47125,404500,742230,0.36242,-1.45633,404500,741500,0.36310,-1.47172
041,Orange NJ,405230,741500,0.35695,-1.47125,405230,740730,0.35773,-1.48565,404500,741500,0.36310,-1.47172,404500,740730,0.36455,-1.48486
042,Weehawken NJ-NY,405230,740730,0.35773,-1.48565,405230,740000,0.35851,-1.50004,404500,740730,0.36455,-1.48486,404500,740000,0.36600,-1.49800
043,Central Park NY-NJ,405230,740000,0.35851,-1.50004,405230,735230,0.35925,-1.51275,404500,740000,0.36600,-1.49800,404500,735230,0.36700,-1.51100
N15,Flushing NY,405230,735230,0.35925,-1.51275,405230,734500,0.35999,-1.52547,404500,735230,0.36700,-1.51100,404500,734500,0.36800,-1.52400
N16,Sea Cliff,405230,734500,0.35999,-1.52547,405230,733730,0.35732,-1.54182,404500,734500,0.36800,-1.52400,404500,733730,0.36350,-1.53750
P22,Cementon Pa,404500,753730,0.34257,-1.32840,404500,753000,0.34477,-1.33945,403730,753730,0.34454,-1.32477,403730,753000,0.34889,-1.33922
P23,Catasauqua Pa,404500,753000,0.34477,-1.33945,404500,752230,0.34769,-1.34932,403730,753000,0.34889,-1.33922,403730,752230,0.35378,-1.35114
P24,Nazareth Pa,404500,752230,0.34769,-1.34932,404500,751500,0.35061,-1.35920,403730,752230,0.35378,-1.35114,403730,751500,0.35867,-1.36304
044,Easton NJ-Pa,404500,751500,0.35061,-1.35920,404500,750730,0.35399,-1.37045,403730,751500,0.35867,-1.36304,403730,750730,0.36184,-1.37459
045,Bloomsbury NJ,404500,750730,0.35399,-1.37045,404500,750000,0.35737,-1.38170,403730,750730,0.36184,-1.37459,403730,750000,0.36501,-1.38614
046,High Bridge NJ,404500,750000,0.35737,-1.38170,404500,745230,0.35919,-1.39716,403730,750000,0.36501,-1.38614,403730,745230,0.36632,-1.40057
047,Califon NJ,404500,745230,0.35919,-1.39716,404500,744500,0.36101,-1.41262,403730,745230,0.36632,-1.40057,403730,744500,0.36763,-1.41500
048,Gladstone NJ,404500,744500,0.36101,-1.41262,404500,743730,0.36138,-1.42678,403730,744500,0.36763,-1.41500,403730,743730,0.36783,-1.42923
049,Bernardsville NJ,404500,743730,0.36138,-1.42678,404500,743000,0.36174,-1.44094,403730,743730,0.36783,-1.42923,403730,743000,0.36803,-1.44346
050,Chatham NJ,404500,743000,0.36174,-1.44094,404500,742230,0.36242,-1.45633,403730,743000,0.36803,-1.44346,403730,742230,0.37004,-1.45916
051,Roselle NJ,404500,742230,0.36242,-1.45633,404500,741500,0.36310,-1.47172,403730,742230,0.37004,-1.45916,403730,741500,0.37205,-1.47486
052,Elizabeth NJ-NY,404500,741500,0.36310,-1.47172,404500,740730,0.36455,-1.48486,403730,741500,0.37205,-1.47486,403730,740730,0.37371,-1.48674
053,Jersey City NJ-NY,404500,740730,0.36455,-1.48486,404500,740000,0.36600,-1.49800,403730,740730,0.37371,-1.48674,403730,740000,0.37538,-1.49862
054,Brooklyn NY,404500,740000,0.36600,-1.49800,404500,735230,0.36700,-1.51100,403730,740000,0.37538,-1.49862,403730,735230,0.37541,-1.51170
N17,Jamaica NY,404500,735230,0.36700,-1.51100,404500,734500,0.36800,-1.52400,403730,735230,0.37541,-1.51117,403730,734500,0.37544,-1.52372
N18,Lynbrook NY,404500,734500,0.36800,-1.52400,404500,733730,0.36350,-1.53750,403730,734500,0.37544,-1.52372,403730,733730,0.37122,-1.53470
P25,Allentown West Pa,403730,753730,0.34454,-1.32477,403730,753000,0.34889,-1.33922,403000,753730,0.34652,-1.32114,403000,753000,0.35300,-1.33900
P26,Allentown East Pa,403730,753000,0.34889,-1.33922,403730,752230,0.35378,-1.35114,403000,753000,0.35300,-1.33900,403000,752230,0.35986,-1.35295
P27,Hellertown Pa,403730,752230,0.35378,-1.35114,403730,751500,0.35867,-1.36304,403000,752230,0.35986,-1.35295,403000,751500,0.36673,-1.36689
055,Riegelsville Pa-NJ,403730,751500,0.35867,-1.36304,403730,750730,0.36184,-1.37459,403000,751500,0.36673,-1.36689,403000,750730,0.36969,-1.37874
056,Frenchtown NJ-Pa,403730,750730,0.36184,-1.37459,403730,750000,0.36501,-1.38614,403000,750730,0.36969,-1.37874,403000,750000,0.37265,-1.39058
057,Pittstown NJ,403730,750000,0.36501,-1.38614,403730,745230,0.36632,-1.40057,403000,750000,0.37265,-1.39058,403000,745230,0.37345,-1.40398
058,Flemington NJ,403730,745230,0.36632,-1.40057,403730,744500,0.36763,-1.41500,403000,745230,0.37345,-1.40398,403000,744500,0.37424,-1.41738
059,Raritan NJ,403730,744500,0.36763,-1.41500,403730,743730,0.36783,-1.42923,403000,744500,0.37424,-1.41738,403000,743730,0.37428,-1.43168
060,Bound Brook NJ,403730,743730,0.36783,-1.42923,403730,743000,0.36803,-1.44346,403000,743730,0.37428,-1.43168,403000,743000,0.37432,-1.44598
061,Plainfield NJ,403730,743000,0.36803,-1.44346,403730,742230,0.37004,-1.45916,403000,743000,0.37432,-1.44598,403000,742230,0.37766,-1.46199
062,Perth Amboy NJ-NY,403730,742230,0.37004,-1.45916,403730,741500,0.37205,-1.47486,403000,742230,0.37766,-1.46199,403000,741500,0.38100,-1.47800
063,Arthur Kill NY-NJ,403730,741500,0.37205,-1.47486,403730,740730,0.37371,-1.48674,403000,741500,0.38100,-1.47800,403000,740730,0.38288,-1.48862
064,The Narrows NY,403730,740730,0.37371,-1.48674,403730,740000,0.37538,-1.49862,403000,740730,0.38288,-1.48862,403000,740000,0.38476,-1.49924
065,Coney Island NY,403730,740000,0.37538,-1.49862,403730,735230,0.37541,-1.51117,403000,740000,0.38476,-1.49924,403000,735230,0.38382,-1.51134
N19,Far Rockaway NY,403730,735230,0.37541,-1.51117,403730,734500,0.37544,-1.52372,403000,735230,0.38382,-1.51134,403000,734500,0.38288,-1.52344
N20,Lawrence NY,403730,734500,0.37544,-1.52372,403730,733730,0.37122,-1.53470,403000,734500,0.38288,-1.52344,403000,733730,0.37893,-1.53190
P28,East Greenville Pa,403000,753730,0.34652,-1.32114,403000,753000,0.35300,-1.33900,402230,753730,0.34766,-1.32982,402230,753000,0.35850,-1.35150
P29,Milford Square Pa,403000,753000,0.35300,-1.33900,403000,752230,0.35986,-1.35295,402230,753000,0.35850,-1.35150,402230,752230,0.36709,-1.36055
P30,Quakertown Pa,403000,752230,0.35986,-1.35295,403000,751500,0.36673,-1.36689,402230,752230,0.36709,-1.36055,402230,751500,0.37567,-1.36959
P31,Bedminster Pa,403000,751500,0.36673,-1.36689,403000,750730,0.36969,-1.37874,402230,751500,0.37567,-1.36959,402230,750730,0.37827,-1.38094
066,Lumberville Pa-NJ,403000,750730,0.36969,-1.37874,403000,750000,0.37265,-1.39058,402230,750730,0.37827,-1.38094,402230,750000,0.38087,-1.39229
067,Stockton NJ-Pa,403000,750000,0.37265,-1.39058,403000,745230,0.37345,-1.40398,402230,750000,0.38087,-1.39229,402230,745230,0.38160,-1.40560
068,Hopewell NJ,403000,745230,0.37345,-1.40398,403000,744500,0.37424,-1.41738,402230,745230,0.38160,-1.40560,402230,744500,0.38234,-1.41891
069,Rocky Hill NJ,403000,744500,0.37424,-1.41738,403000,743730,0.37428,-1.43168,402230,744500,0.38234,-1.41891,402230,743730,0.38379,-1.43371
070,Monmouth Junction NJ,403000,743730,0.37428,-1.43168,403000,743000,0.37432,-1.44598,402230,743730,0.38379,-1.43371,402230,743000,0.38524,-1.44851
071,New Brunswick NJ,403000,743000,0.37432,-1.44598,403000,742230,0.37766,-1.46199,402230,743000,0.38524,-1.44851,402230,742230,0.38804,-1.46283
072,South Amboy NJ-NY,403000,742230,0.37766,-1.46199,403000,741500,0.38100,-1.47800,402230,742230,0.38804,-1.46283,402230,741500,0.39084,-1.47715
073,Keyport NJ-NY,403000,741500,0.38100,-1.47800,403000,740730,0.38288,-1.48862,402230,741500,0.39084,-1.47715,402230,740730,0.39263,-1.48992
074,Sandy Hook NJ-NY,403000,740730,0.38288,-1.48862,403000,740000,0.38476,-1.49924,402230,740730,0.39263,-1.48992,402230,740000,0.39443,-1.50269
A01,Sandy Hook NJ-NY / Atlantic Ocean,403000,740000,0.38476,-1.49924,403000,735230,0.38382,-1.51134,402230,740000,0.39443,-1.50269,402230,735230,0.39310,-1.51481
A02,Atlantic Ocean,403000,735230,0.38382,-1.51134,403000,734500,0.38288,-1.52344,402230,735230,0.39310,-1.51481,402230,734500,0.39178,-1.52693
A03,Atlantic Ocean,403000,734500,0.38288,-1.52344,403000,733730,0.37893,-1.53190,402230,734500,0.39178,-1.52693,402230,733730,0.38787,-1.53619
P32,Sassamansville Pa,402230,753730,0.34766,-1.32982,402230,753000,0.35850,-1.35150,401500,753730,0.34900,-1.33850,401500,753000,0.36400,-1.36400
P33,Perkiomenville Pa,402230,753000,0.35850,-1.35150,402230,752230,0.36709,-1.36055,401500,753000,0.36400,-1.36400,401500,752230,0.37431,-1.36815
P34,Telford Pa,402230,752230,0.36709,-1.36055,402230,751500,0.37567,-1.36959,401500,752230,0.37431,-1.36815,401500,751500,0.38462,-1.37230
